FID,OBJECTID,NM_MUNICIP,CD_GEOCMU,Shape_Leng,Shape_Area
112,113,BALNEÁRIO RINCÃO,4220000,0.392221868064000,0.005975210128280
113,114,ARROIO DO SAL,4301057,0.546112690758000,0.011251864273400
114,115,BALNEÁRIO PINHAL,4301636,0.645241989314000,0.009580035077920
115,116,CAPÃO DA CANOA,4304630,0.495902581587000,0.009049924649590
116,117,CIDREIRA,4305454,0.863712722343000,0.023016643201700
117,118,IMBÉ,4310330,0.356332592895000,0.003680690034740
118,119,MOSTARDAS,4312500,2.676316122240000,0.187000778352000
119,120,OSÓRIO,4313508,1.575036536870000,0.061987628564000
120,121,PALMARES DO SUL,4313656,2.067753041770000,0.089207934902800
121,122,TAVARES,4321352,1.258933840750000,0.057235796782400
122,123,TERRA DE AREIA,4321436,0.774170844399000,0.013203474199100
123,124,TORRES,4321501,0.893145657414000,0.014914210040900
124,125,TRAMANDAÍ,4321600,0.760247277458000,0.013505225879700
125,126,XANGRI-LÁ,4323804,0.401924435902000,0.005663341766760
126,127,AUGUSTO CORRÊA,1500909,2.675566040470000,0.088693505261700
127,128,BRAGANÇA,1501709,3.182538195870000,0.169985194358000
128,129,CHAVES,1502509,5.568178378610000,1.063029518800000
129,130,CURUÇÁ,1502905,1.616376741200000,0.054653113009400
130,131,MAGALHÃES BARATA,1504109,0.877390109706000,0.026427383844300
131,132,MARACANÃ,1504307,1.625570887430000,0.069521637412000
132,133,MARAPANIM,1504406,1.703610884910000,0.064673742656700
133,134,QUATIPURU,1506112,1.231776353190000,0.026496556022600
134,135,SALINÓPOLIS,1506203,0.909012320070000,0.019315343015400
135,136,SÃO CAETANO DE ODIVELAS,1507102,1.850844990430000,0.060406420869000
136,137,SÃO JOÃO DE PIRABAS,1507474,1.955167240730000,0.057324118544700
137,138,SOURE,1507904,2.681629149580000,0.285766120255000
138,139,TRACUATEUA,1508035,2.083219653950000,0.075913601530300
139,140,VISEU,1508308,5.914078909420000,0.399445018104000
140,141,ALCÂNTARA,2100204,2.025520272940000,0.118542537593000
141,142,APICUM-AÇU,2100832,3.326657876950000,0.039724802933900
142,143,ARAIOSES,2100907,2.460559159360000,0.145009747774000
143,144,BACURI,2101301,1.793041151440000,0.066948259518400
144,145,BARREIRINHAS,2101707,3.004683927370000,0.245969112161000
145,146,CÂNDIDO MENDES,2102606,4.493666756800000,0.133349440086000
146,147,CARUTAPERA,2102903,3.453312971840000,0.100121495998000
147,148,CEDRAL,2103109,1.144354515350000,0.023019657789100
148,149,CURURUPU,2103703,6.454470247250000,0.088839468434600
149,150,GODOFREDO VIANA,2104305,3.402634707610000,0.054229150431700
150,151,GUIMARÃES,2104909,1.250744997180000,0.048402389120900
151,152,HUMBERTO DE CAMPOS,2105005,2.216738420870000,0.173320283606000
152,153,ICATU,2105104,1.567904651030000,0.117819602774000
153,154,LUÍS DOMINGUES,2106201,1.702292017830000,0.037712040290100
154,155,PAULINO NEVES,2108058,1.439412019780000,0.079645562644500
155,156,PORTO RICO DO MARANHÃO,2109056,1.594584568030000,0.017787430690100
156,157,PRIMEIRA CRUZ,2109403,2.074152738040000,0.111231894584000
157,158,RAPOSA,2109452,0.708691361089000,0.005389349989770
158,159,SANTO AMARO DO MARANHÃO,2110278,2.086209427150000,0.130214358017000
159,160,SÃO JOSÉ DE RIBAMAR,2111201,1.208899300540000,0.031582663430300
160,161,SÃO LUÍS,2111300,1.267522241930000,0.067888476948600
161,162,TURIAÇU,2112407,4.470350670900000,0.209576899964000
162,163,TUTÓIA,2112506,2.093124791400000,0.134349536947000
163,164,CAJUEIRO DA PRAIA,2202083,0.719564391640000,0.022102905840700
164,165,ILHA GRANDE,2204659,0.471111866959000,0.010925208878900
165,166,LUÍS CORREIA,2205706,1.904772456760000,0.087125593163600
166,167,PARNAÍBA,2207702,1.041335173510000,0.035431833503100
167,168,ACARAÚ,2300200,2.067006659710000,0.068539596853800
168,169,AMONTADA,2300754,1.683921786520000,0.095935673664200
169,170,AQUIRAZ,2301000,0.994998819490000,0.039281006825700
170,171,ARACATI,2301109,2.179078118140000,0.100093354483000
171,172,BARROQUINHA,2302057,0.911244876532000,0.031188972728100
172,173,BEBERIBE,2302206,1.984576306720000,0.132305126623000
173,174,CAMOCIM,2302602,1.825238559820000,0.091495537389300
174,175,CASCAVEL,2303501,1.442134805750000,0.068017453471200
175,176,CAUCAIA,2303709,1.524205587020000,0.100017311423000
176,177,CRUZ,2304251,0.925223781401000,0.026838493511300
177,178,FORTALEZA,2304400,0.915208306577000,0.025639613558800
178,179,FORTIM,2304459,0.868405197909000,0.022714214471100
179,180,ICAPUÍ,2305357,0.907151618849000,0.034515950623700
180,181,ITAPIPOCA,2306405,2.237800759140000,0.131360602890000
181,182,ITAREMA,2306553,1.188385402100000,0.058628136294800
182,183,JIJOCA DE JERICOACOARA,2307254,0.639481378143000,0.016658007283000
183,184,PARACURU,2310209,0.898567654349000,0.024439352535100
184,185,PARAIPABA,2310258,0.778776811052000,0.024489682425000
185,186,SÃO GONÇALO DO AMARANTE,2312403,1.620698328770000,0.067920948498600
